data_distribution;tuple_size;bleaching_active;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;
20/20;25;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;61699;0.3389310041749066;154326;40736;6751;0.26396070655625103;27714;20963;113590;0.7564047052031464;
20/20;25;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;63297;0.34770929466051415;154326;42641;7058;0.27630470562316134;27714;20656;111685;0.7453272714151692;
20/20;30;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;53211;0.29230388925510875;154326;30534;5037;0.19785389370553244;27714;22677;123792;0.8182507036155012;
20/20;30;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;53212;0.292309382553285;154326;30535;5037;0.19786037349506888;27714;22677;123791;0.8182507036155012;
20/20;50;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;32142;0.17656558998022412;154326;5259;831;0.03407721317211617;27714;26883;149067;0.9700151547954102;
20/20;50;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;32142;0.17656558998022412;154326;5259;831;0.03407721317211617;27714;26883;149067;0.9700151547954102;
20/20;100;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;27931;0.15343331136014063;154326;264;47;0.0017106644376190662;27714;27667;154062;0.9983041062278992;
20/20;100;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;27931;0.15343331136014063;154326;264;47;0.0017106644376190662;27714;27667;154062;0.9983041062278992;
30/30;1;False;60;37;0.6166666666666667;30;7;0;0.23333333333333334;30;30;23;1.0;182020;51690;0.28397978244148997;154316;29097;5111;0.18855465408642008;27704;22593;125219;0.8155140051978054;
30/30;1;True;60;42;0.7;30;28;16;0.9333333333333333;30;14;2;0.4666666666666667;182020;128644;0.7067574991759147;154316;122391;21451;0.7931193136162161;27704;6253;31925;0.22570747906439503;
30/30;2;False;60;45;0.75;30;15;0;0.5;30;30;15;1.0;182020;79227;0.4352653554554445;154316;61994;10471;0.40173410404624277;27704;17233;92322;0.6220401386081432;
30/30;2;True;60;51;0.85;30;28;7;0.9333333333333333;30;23;2;0.7666666666666667;182020;119265;0.6552301944841227;154316;110739;19178;0.7176119132170352;27704;8526;43577;0.30775339301183946;
30/30;4;False;60;53;0.8833333333333333;30;23;0;0.7666666666666667;30;30;7;1.0;182020;94524;0.5193055708163938;154316;80377;13557;0.5208597941885482;27704;14147;73939;0.5106482818365579;
30/30;4;True;60;55;0.9166666666666666;30;28;3;0.9333333333333333;30;27;2;0.9;182020;112935;0.6204537962861224;154316;103058;17827;0.66783742450556;27704;9877;51258;0.3565189142362114;
30/30;5;False;60;56;0.9333333333333333;30;26;0;0.8666666666666667;30;30;4;1.0;182020;89354;0.4909020986704758;154316;74407;12757;0.48217294382954456;27704;14947;79909;0.5395249783424776;
30/30;5;True;60;58;0.9666666666666667;30;29;1;0.9666666666666667;30;29;1;0.9666666666666667;182020;102654;0.5639709921986595;154316;90659;15709;0.5874893076544234;27704;11995;63657;0.43296996823563383;
30/30;7;False;60;59;0.9833333333333333;30;29;0;0.9666666666666667;30;30;1;1.0;182020;92472;0.5080320843863312;154316;78286;13518;0.5073096762487364;27704;14186;76030;0.5120560207912215;
30/30;7;True;60;59;0.9833333333333333;30;30;1;1.0;30;29;0;0.9666666666666667;182020;99373;0.5459455004944511;154316;86766;15097;0.5622618523030665;27704;12607;67550;0.4550606410626624;
30/30;10;False;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;86016;0.47256345456543236;154316;70177;11865;0.45476165789678324;27704;15839;84139;0.5717224949465781;
