data_distribution;tuple_size;bleaching_active;total_training_time;avg_in_sample_evaluation_time;total_in_sample_evaluation_time;avg_out_sample_evaluation_time;total_out_sample_evaluation_time;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
10/10;8;True;0.00032448768615722656;3.2567977905273436e-05;0.0009248256683349609;3.343457823649325e-05;6.087972640991211;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;89779;0.4931286389102494;154336;75075;13020;0.486438679245283;27724;14704;79261;0.530370797864666;0;0;0;
10/10;9;False;0.00031256675720214844;3.489255905151367e-05;0.001745462417602539;3.423207437129096e-05;6.233493804931641;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;112501;0.6179336482478304;154336;102799;18022;0.6660727244453659;27724;9702;51537;0.34994950223632953;0;0;0;
10/10;9;True;0.0003261566162109375;3.174543380737305e-05;0.0026793479919433594;3.4337987693393544e-05;6.252604961395264;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;107517;0.5905580577831484;154336;97263;17470;0.6302029338585943;27724;10254;57073;0.36986004905497044;0;0;0;
10/10;10;False;0.00034427642822265625;3.502368927001953e-05;0.0011456012725830078;3.3664984924641596e-05;6.132786273956299;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;105680;0.5804679775898055;154336;94548;16592;0.612611445158615;27724;11132;59788;0.4015293608425913;0;0;0;
10/10;10;True;0.00032830238342285156;3.4332275390625e-05;0.0033419132232666016;3.594087137437896e-05;6.545818090438843;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;102820;0.5647588707019664;154336;91273;16177;0.5913915094339622;27724;11547;63063;0.4164983407877651;0;0;0;
10/10;20;False;0.00044465065002441406;3.905296325683594e-05;0.004627704620361328;5.1391839745358214e-05;9.359511375427246;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;107719;0.591667582115786;154336;97444;17449;0.6313756997719262;27724;10275;56892;0.3706175155100274;0;0;0;
10/10;20;True;0.00042557716369628906;6.130933761596679e-05;0.005191326141357422;4.202522943926868e-05;7.652365684509277;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;100728;0.5532681533560365;154336;89305;16301;0.5786401098901099;27724;11423;65031;0.4120256817198096;0;0;0;
10/10;25;False;0.00043702125549316406;5.089044570922851e-05;0.0014774799346923828;3.913508186520527e-05;7.127389192581177;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;119212;0.6547951224870922;154336;111312;19824;0.7212315985900891;27724;7900;43024;0.2849516664262011;0;0;0;
10/10;25;True;0.0005428791046142578;5.403757095336914e-05;0.0026459693908691406;3.88095840626754e-05;7.066177845001221;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;122631;0.6735746457211909;154336;115314;20407;0.7471620360771304;27724;7317;39022;0.2639229548405713;0;0;0;
10/10;30;False;0.00058746337890625;5.54203987121582e-05;0.0021309852600097656;3.868200799128413e-05;7.044323921203613;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;143094;0.7859716576952653;154336;140909;25539;0.9130015032137674;27724;2185;13427;0.07881258115712018;0;0;0;
