algorithm;field_size;file_name;number_of_fields;number_of_observations;number_of_observations_smote;tuple_size;number_of_folds;avg_accuracy;list_accuracies
wisard;100;compact_Math_Science_100.pickle;1.07;42043;69478;12;10;0.9043472002303152;[0.8458327335540521, 0.8428098459766806, 0.8392111702893336, 0.8420901108392111, 0.8464085216640277, 0.8510148265438319, 0.9873326615805383, 0.9956815891751836, 0.9956815891751836, 0.9974089535051102];
wisard;100;compact_Math_Science_100.pickle;1.07;42043;69478;13;10;0.9071973513746941;[0.8478479919389664, 0.8488556211314237, 0.8471282568014971, 0.8466964157190154, 0.8528861379012523, 0.8567727076435872, 0.9873326615805383, 0.9933784367352814, 0.9958255362026774, 0.9952497480927018];
wisard;100;compact_Math_Science_100.pickle;1.07;42043;69478;14;10;0.9121059450122356;[0.8536058730387217, 0.8576363898085505, 0.8563408665611055, 0.8570606016985749, 0.8583561249460199, 0.8649776882107384, 0.9863250323880812, 0.9966892183676407, 0.9923708075428243, 0.9976968475600979];
wisard;100;compact_Math_Science_100.pickle;1.07;42043;69478;15;10;0.9150568590758601;[0.8620987476608608, 0.8609471714409097, 0.859507701165971, 0.859507701165971, 0.8620987476608608, 0.8681445228156038, 0.9889160788829711, 0.9966892183676407, 0.9966892183676407, 0.9959694832301713];
wisard;100;compact_Math_Science_100.pickle;1.07;42043;69478;16;10;0.9186267453577083;[0.8695839930905427, 0.8662732114581834, 0.8656974233482079, 0.8622426946883547, 0.8705916222829999, 0.8690082049805672, 0.9912192313228732, 0.9976968475600979, 0.9972650064776163, 0.9966892183676407];
wisard;100;compact_Math_Science_100.pickle;1.07;42043;69478;17;10;0.9221534475313083;[0.866705052540665, 0.8717431985029509, 0.8714553044479632, 0.8724629336404204, 0.8775010796027062, 0.8795163379876205, 0.9915071253778609, 0.9971210594501223, 0.9961134302576652, 0.9974089535051102];
wisard;100;compact_Math_Science_100.pickle;1.07;42043;69478;18;10;0.9265438318698719;[0.8842665898949187, 0.8726068806679143, 0.8749100331078163, 0.8803800201525839, 0.878940549877645, 0.8871455304447963, 0.9919389664603426, 0.998704476752555, 0.9984165826975673, 0.9981286886425795];
wisard;100;compact_Math_Science_100.pickle;1.07;42043;69478;19;10;0.9289909313372678;[0.8808118612350655, 0.8859939542248453, 0.8870015834173024, 0.8799481790701023, 0.8855621131423637, 0.8877213185547719, 0.9920829134878365, 0.9966892183676407, 0.9972650064776163, 0.9968331653951346];
wisard;100;compact_Math_Science_100.pickle;1.07;42043;69478;20;10;0.9326040017273642;[0.8870015834173024, 0.8881531596372535, 0.8818194904275227, 0.8926155174895638, 0.8894486828846985, 0.8992370807542824, 0.9920829134878365, 0.998704476752555, 0.9981286886425795, 0.9988484237800489];
wisard;100;compact_Music_The_Arts_100.pickle;1.07;8847;15024;2;10;0.8789613848202397;[0.8428761651131824, 0.8601864181091877, 0.87017310252996, 0.859520639147803, 0.822237017310253, 0.8535286284953395, 0.9494007989347537, 0.8868175765645806, 0.9440745672436751, 0.9007989347536618];
wisard;100;compact_Music_The_Arts_100.pickle;1.07;8847;15024;3;10;0.8990013315579228;[0.8521970705725699, 0.8615179760319573, 0.8535286284953395, 0.8548601864181092, 0.8402130492676432, 0.8601864181091877, 0.9733688415446072, 0.9647137150466045, 0.9620505992010653, 0.9673768308921438];
wisard;100;compact_Music_The_Arts_100.pickle;1.07;8847;15024;4;10;0.9105858854860186;[0.8568575233022636, 0.8648468708388815, 0.8688415446071904, 0.8721704394141145, 0.8302263648468708, 0.8668442077230359, 0.988681757656458, 0.9880159786950732, 0.9820239680426098, 0.9873501997336884];
