algorithm;field_size;file_name;number_of_fields;number_of_observations;number_of_observations_smote;tuple_size;number_of_folds;avg_accuracy;list_accuracies
wisard;50;compact_Health_Sports_50.pickle;1.14;21754;36884;19;10;0.9344631236442517;[0.8991323210412148, 0.8953362255965293, 0.8888286334056399, 0.8928958785249458, 0.8931670281995662, 0.8931670281995662, 0.9962039045553145, 0.9932212581344902, 0.9953904555314533, 0.9972885032537961];
wisard;50;compact_Health_Sports_50.pickle;1.14;21754;36884;20;10;0.9374728850325379;[0.8947939262472885, 0.9029284164859002, 0.8964208242950108, 0.8983188720173536, 0.8950650759219089, 0.9029284164859002, 0.9953904555314533, 0.9964750542299349, 0.9970173535791758, 0.9953904555314533];
wisard;50;compact_History_Civics_50.pickle;1.14;6925;11756;2;10;0.8133617021276596;[0.8553191489361702, 0.8238297872340425, 0.8459574468085106, 0.8476595744680852, 0.8485106382978723, 0.8459574468085106, 0.8451063829787234, 0.6714893617021277, 0.7753191489361703, 0.774468085106383];
wisard;50;compact_History_Civics_50.pickle;1.14;6925;11756;3;10;0.8739574468085106;[0.8638297872340426, 0.8374468085106384, 0.8323404255319149, 0.8612765957446809, 0.8451063829787234, 0.8493617021276596, 0.9268085106382978, 0.8595744680851064, 0.9404255319148936, 0.9234042553191489];
wisard;50;compact_History_Civics_50.pickle;1.14;6925;11756;4;10;0.8856170212765957;[0.8485106382978723, 0.8280851063829787, 0.8442553191489361, 0.8587234042553191, 0.84, 0.8374468085106384, 0.9336170212765957, 0.9463829787234043, 0.9591489361702128, 0.96];
wisard;50;compact_History_Civics_50.pickle;1.14;6925;11756;5;10;0.8951489361702128;[0.8689361702127659, 0.8306382978723404, 0.8476595744680852, 0.865531914893617, 0.8365957446808511, 0.8689361702127659, 0.9548936170212766, 0.9676595744680851, 0.9404255319148936, 0.9702127659574468];
wisard;50;compact_History_Civics_50.pickle;1.14;6925;11756;6;10;0.8940425531914894;[0.857872340425532, 0.8314893617021276, 0.8493617021276596, 0.8638297872340426, 0.8587234042553191, 0.8621276595744681, 0.9668085106382979, 0.9531914893617022, 0.9523404255319149, 0.9446808510638298];
wisard;50;compact_History_Civics_50.pickle;1.14;6925;11756;7;10;0.9100425531914894;[0.8672340425531915, 0.8374468085106384, 0.843404255319149, 0.8817021276595745, 0.8723404255319149, 0.8825531914893617, 0.9863829787234043, 0.9659574468085106, 0.9744680851063829, 0.9889361702127659];
wisard;50;compact_History_Civics_50.pickle;1.14;6925;11756;8;10;0.9158297872340426;[0.8825531914893617, 0.8595744680851064, 0.8706382978723404, 0.8834042553191489, 0.8629787234042553, 0.8663829787234043, 0.9761702127659575, 0.9863829787234043, 0.985531914893617, 0.9846808510638297];
wisard;50;compact_History_Civics_50.pickle;1.14;6925;11756;9;10;0.9217872340425531;[0.8876595744680851, 0.8689361702127659, 0.8723404255319149, 0.8919148936170213, 0.8748936170212765, 0.8868085106382979, 0.9897872340425532, 0.9761702127659575, 0.9829787234042553, 0.9863829787234043];
wisard;50;compact_History_Civics_50.pickle;1.14;6925;11756;10;10;0.9262978723404256;[0.8902127659574468, 0.8680851063829788, 0.8706382978723404, 0.8936170212765957, 0.8910638297872341, 0.8885106382978724, 0.9906382978723405, 0.9923404255319149, 0.9897872340425532, 0.9880851063829788];
wisard;50;compact_History_Civics_50.pickle;1.14;6925;11756;11;10;0.9339574468085108;[0.9012765957446809, 0.8680851063829788, 0.8970212765957447, 0.9046808510638298, 0.8910638297872341, 0.9046808510638298, 0.9965957446808511, 0.9897872340425532, 0.9940425531914894, 0.9923404255319149];
wisard;50;compact_History_Civics_50.pickle;1.14;6925;11756;12;10;0.9411063829787233;[0.9080851063829787, 0.8757446808510638, 0.8953191489361703, 0.9276595744680851, 0.908936170212766, 0.9106382978723404, 0.9974468085106383, 0.9940425531914894, 0.9948936170212765, 0.9982978723404256];
wisard;50;compact_History_Civics_50.pickle;1.14;6925;11756;13;10;0.9429787234042554;[0.9046808510638298, 0.8987234042553192, 0.9029787234042553, 0.9225531914893617, 0.9080851063829787, 0.9123404255319149, 0.9923404255319149, 0.9965957446808511, 0.9965957446808511, 0.9948936170212765];
wisard;50;compact_History_Civics_50.pickle;1.14;6925;11756;14;10;0.9466382978723406;[0.9259574468085107, 0.8995744680851064, 0.8893617021276595, 0.9191489361702128, 0.9319148936170213, 0.9251063829787234, 0.9931914893617021, 0.9965957446808511, 0.9897872340425532, 0.9957446808510638];
wisard;50;compact_History_Civics_50.pickle;1.14;6925;11756;15;10;0.9501276595744683;[0.9268085106382978, 0.8987234042553192, 0.9072340425531915, 0.9387234042553192, 0.9242553191489362, 0.9191489361702128, 0.9982978723404256, 0.9957446808510638, 0.9957446808510638, 0.9965957446808511];
wisard;50;compact_History_Civics_50.pickle;1.14;6925;11756;16;10;0.9553191489361701;[0.9276595744680851, 0.9208510638297872, 0.9097872340425532, 0.9421276595744681, 0.9319148936170213, 0.9259574468085107, 0.9991489361702127, 0.9974468085106383, 0.9991489361702127, 0.9991489361702127];
wisard;50;compact_History_Civics_50.pickle;1.14;6925;11756;17;10;0.9587234042553192;[0.9378723404255319, 0.9208510638297872, 0.9208510638297872, 0.9497872340425532, 0.9242553191489362, 0.9421276595744681, 0.9991489361702127, 1.0, 0.9965957446808511, 0.9957446808510638];
wisard;50;compact_History_Civics_50.pickle;1.14;6925;11756;18;10;0.9590638297872338;[0.9336170212765957, 0.9182978723404255, 0.9259574468085107, 0.9497872340425532, 0.9353191489361702, 0.9302127659574468, 0.9991489361702127, 1.0, 1.0, 0.9982978723404256];
wisard;50;compact_History_Civics_50.pickle;1.14;6925;11756;19;10;0.9616170212765958;[0.9361702127659575, 0.9302127659574468, 0.9319148936170213, 0.9446808510638298, 0.9438297872340425, 0.934468085106383, 0.9982978723404256, 1.0, 0.9991489361702127, 0.9974468085106383];
wisard;50;compact_History_Civics_50.pickle;1.14;6925;11756;20;10;0.9646808510638296;[0.9421276595744681, 0.9327659574468085, 0.931063829787234, 0.9668085106382979, 0.9370212765957446, 0.9412765957446808, 0.9982978723404256, 1.0, 0.9991489361702127, 0.9982978723404256];
wisard;50;compact_Literacy_Language_50.pickle;1.14;75824;131404;2;10;0.8252815829528158;[0.8524353120243531, 0.8535007610350076, 0.8504566210045662, 0.8426179604261796, 0.8489345509893456, 0.832496194824962, 0.8471080669710807, 0.8735159817351598, 0.6821917808219178, 0.769558599695586];
