data_distribution;tuple_size;bleaching_active;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;total_ties;ties_for_zeros;ties_for_ones
10/10;30;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;44158;0.24254641327035042;154336;19832;3398;0.1284988596309351;27724;24326;134504;0.8774347136055404;143125;22026;121099;
10/10;30;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;44158;0.24254641327035042;154336;19832;3398;0.1284988596309351;27724;24326;134504;0.8774347136055404;143125;22026;121099;
10/10;50;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;30035;0.16497308579589146;154336;2767;456;0.017928415923698943;27724;27268;151569;0.9835521569759054;176611;26927;149684;
10/10;50;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;30035;0.16497308579589146;154336;2767;456;0.017928415923698943;27724;27268;151569;0.9835521569759054;176611;26927;149684;
10/10;100;False;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;27812;0.15276282544216194;154336;110;22;0.0007127306655608542;27724;27702;154226;0.9992064637137498;181916;27697;154219;
10/10;100;True;20;20;1.0;10;10;0;1.0;10;10;0;1.0;182060;27812;0.15276282544216194;154336;110;22;0.0007127306655608542;27724;27702;154226;0.9992064637137498;181916;27697;154219;
20/20;1;False;40;29;0.725;20;9;0;0.45;20;20;11;1.0;182040;73703;0.4048725554823116;154326;56481;10492;0.36598499280743363;27714;17222;97845;0.6214187775131702;101505;15046;86459;
20/20;1;True;40;30;0.75;20;20;10;1.0;20;10;0;0.5;182040;127079;0.6980828389364975;154326;120959;21594;0.7837888625377448;27714;6120;33367;0.22082701883524572;0;0;0;
20/20;2;False;40;33;0.825;20;13;0;0.65;20;20;7;1.0;182040;85295;0.46855086794111184;154326;70052;12471;0.45392221660640464;27714;15243;84274;0.5500108248538644;66103;10033;56070;
20/20;2;True;40;37;0.925;20;20;3;1.0;20;17;0;0.85;182040;113827;0.6252856515051637;154326;104520;18407;0.6772676023482758;27714;9307;49806;0.3358230497221621;0;0;0;
20/20;3;False;40;35;0.875;20;15;0;0.75;20;20;5;1.0;182040;95839;0.5264722039112283;154326;82647;14522;0.5355351658178142;27714;13192;71679;0.4760049072670852;56863;8840;48023;
20/20;3;True;40;39;0.975;20;20;1;1.0;20;19;0;0.95;182040;112281;0.6167930125247199;154326;102349;17782;0.6631999792646734;27714;9932;51977;0.35837482860648046;0;0;0;
20/20;4;False;40;36;0.9;20;16;0;0.8;20;20;4;1.0;182040;90672;0.4980883322346737;154326;76222;13264;0.4939025180462139;27714;14450;78104;0.5213971278054413;41725;6465;35260;
20/20;4;True;40;39;0.975;20;19;0;0.95;20;20;1;1.0;182040;104860;0.5760272467589541;154326;93332;16186;0.6047717170146314;27714;11528;60994;0.41596305116547594;0;0;0;
20/20;5;False;40;39;0.975;20;19;0;0.95;20;20;1;1.0;182040;85634;0.47041309602285214;154326;70193;12273;0.45483586693104205;27714;15441;84133;0.5571552284044166;36061;5485;30576;
20/20;5;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;93675;0.5145847066578774;154326;79803;13842;0.5171066443761907;27714;13872;74523;0.5005412426932236;0;0;0;
20/20;6;False;40;39;0.975;20;19;0;0.95;20;20;1;1.0;182040;81961;0.4502362118215777;154326;65606;11359;0.4251130723274108;27714;16355;88720;0.5901349498448437;29531;4484;25047;
20/20;6;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;93101;0.5114315535047242;154326;79152;13765;0.5128883013879709;27714;13949;75174;0.5033196218517717;0;0;0;
20/20;7;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;87040;0.47813667325862447;154326;71801;12475;0.46525536850563093;27714;15239;82525;0.5498664934690048;25231;4034;21197;
20/20;7;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;92071;0.5057734563832125;154326;77917;13560;0.5048857613104726;27714;14154;76409;0.5107166053258281;3;1;2;
20/20;8;False;40;39;0.975;20;19;0;0.95;20;20;1;1.0;182040;83101;0.45649857174247416;154326;66860;11473;0.4332387284061014;27714;16241;87466;0.5860215053763441;25678;3965;21713;
20/20;8;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;90112;0.4950120852559877;154326;75423;13025;0.4887251662066016;27714;14689;78903;0.5300209280508047;15;0;15;
20/20;9;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;80795;0.44383102614809933;154326;64159;11078;0.41573681686818814;27714;16636;90167;0.6002742296312333;27286;4306;22980;
20/20;9;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;87003;0.47793342122610416;154326;71638;12349;0.4641991628111919;27714;15365;82688;0.5544129320920834;50;8;42;
20/20;10;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;76151;0.4183201494177104;154326;58322;9885;0.377914285344012;27714;17829;96004;0.6433210651656203;27289;4237;23052;
20/20;10;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;81176;0.445923972753241;154326;64349;10887;0.41696797688011095;27714;16827;89977;0.607166053258281;106;20;86;
20/20;20;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;69557;0.3820973412436827;154326;50024;8181;0.3241449917706673;27714;19533;104302;0.704806235115826;45781;7074;38707;
20/20;20;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;72502;0.39827510437266533;154326;53497;8709;0.346649300830709;27714;19005;100829;0.6857544923143537;27795;4369;23426;
20/20;25;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;61699;0.3389310041749066;154326;40736;6751;0.26396070655625103;27714;20963;113590;0.7564047052031464;83225;12777;70448;
20/20;25;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;63297;0.34770929466051415;154326;42641;7058;0.27630470562316134;27714;20656;111685;0.7453272714151692;76519;11765;64754;
20/20;30;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;53211;0.29230388925510875;154326;30534;5037;0.19785389370553244;27714;22677;123792;0.8182507036155012;109174;16838;92336;
20/20;30;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;53212;0.292309382553285;154326;30535;5037;0.19786037349506888;27714;22677;123791;0.8182507036155012;108861;16795;92066;
20/20;50;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;32142;0.17656558998022412;154326;5259;831;0.03407721317211617;27714;26883;149067;0.9700151547954102;171436;26187;145249;
20/20;50;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;32142;0.17656558998022412;154326;5259;831;0.03407721317211617;27714;26883;149067;0.9700151547954102;171436;26187;145249;
