data_distribution;tuple_size;bleaching_active;total_training_data;total_correct_training;percent_correct_training;total_approved_training;correctly_approved_training;wrongly_approved_training;percent_approved_correctly_training;total_reproved_training;correctly_reproved_training;wrongly_reproved_training;percent_reproved_correctly_training;total_test_data;total_correct_test;percent_correct_test;total_approved_test;correctly_approved_test;wrongly_approved_test;percent_approved_correctly_test;total_reproved_test;correctly_reproved_test;wrongly_reproved_test;percent_reproved_correctly_test;
20/20;30;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;89821;0.49341353548670625;154326;75328;13221;0.4881095862006402;27714;14493;78998;0.5229486901926824;
20/20;50;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;50784;0.27897165458141066;154326;28135;5065;0.18230887860762282;27714;22649;126191;0.8172403839214837;
20/20;50;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;51078;0.2805866842452208;154326;28484;5120;0.18457032515583893;27714;22594;125842;0.8152558273796637;
20/20;100;False;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;27882;0.1531641397495056;154326;201;33;0.001302437696823607;27714;27681;154125;0.9988092660749079;
20/20;100;True;40;40;1.0;20;20;0;1.0;20;20;0;1.0;182040;27882;0.1531641397495056;154326;201;33;0.001302437696823607;27714;27681;154125;0.9988092660749079;
30/30;1;False;60;50;0.8333333333333334;30;20;0;0.6666666666666666;30;30;10;1.0;182020;60301;0.33128777057466213;154316;39403;6806;0.25533969257886413;27704;20898;114913;0.7543315044758879;
30/30;1;True;60;55;0.9166666666666666;30;28;3;0.9333333333333333;30;27;2;0.9;182020;89868;0.49372596417976045;154316;74991;12827;0.48595738614272016;27704;14877;79325;0.5369982673982097;
30/30;2;False;60;51;0.85;30;21;0;0.7;30;30;9;1.0;182020;64723;0.355581804197341;154316;45022;8003;0.2917519894242982;27704;19701;109294;0.7111247473289056;
30/30;2;True;60;57;0.95;30;28;1;0.9333333333333333;30;29;2;0.9666666666666667;182020;94248;0.5177892539281398;154316;80565;14021;0.5220780735633376;27704;13683;73751;0.49389979786312443;
30/30;4;False;60;55;0.9166666666666666;30;25;0;0.8333333333333334;30;30;5;1.0;182020;64984;0.35701571255905945;154316;45064;7784;0.2920241582207937;27704;19920;109252;0.7190297429974011;
30/30;4;True;60;57;0.95;30;29;2;0.9666666666666667;30;28;1;0.9333333333333333;182020;95936;0.5270629601142731;154316;82592;14360;0.5352134580989658;27704;13344;71724;0.481663297718741;
30/30;5;False;60;55;0.9166666666666666;30;25;0;0.8333333333333334;30;30;5;1.0;182020;68363;0.3755796066366333;154316;48742;8083;0.3158583685424713;27704;19621;105574;0.7082370776783136;
30/30;5;True;60;59;0.9833333333333333;30;30;1;1.0;30;29;0;0.9666666666666667;182020;96536;0.530359301175695;154316;83152;14320;0.5388423753855724;27704;13384;71164;0.483107132544037;
30/30;7;False;60;58;0.9666666666666667;30;28;0;0.9333333333333333;30;30;2;1.0;182020;80740;0.4435776288319965;154316;63982;10946;0.41461676041369655;27704;16758;90334;0.6048946000577534;
30/30;7;True;60;58;0.9666666666666667;30;30;2;1.0;30;28;0;0.9333333333333333;182020;101805;0.5593066695967476;154316;89503;15402;0.5799981855413567;27704;12302;64813;0.44405140051978054;
30/30;10;False;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;79295;0.43563894077573895;154316;62035;10444;0.4019997926332979;27704;17260;92281;0.623014727115218;
30/30;10;True;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;98664;0.5420503241402044;154316;85770;14810;0.5558075637004588;27704;12894;68546;0.46542015593416114;
30/30;20;False;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;78050;0.42879903307328865;154316;60629;10283;0.3928886181601389;27704;17421;93687;0.6288261622870344;
30/30;20;True;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;89251;0.49033622678826505;154316;74043;12496;0.4798141475932502;27704;15208;80273;0.548946000577534;
30/30;25;False;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;71051;0.3903472145918031;154316;52045;8698;0.33726250032401045;27704;19006;102271;0.6860381172393878;
30/30;25;True;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;84412;0.46375123612789804;154316;68326;11618;0.44276679022266;27704;16086;85990;0.5806381749927808;
30/30;30;False;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;73037;0.4012581035051093;154316;54829;9496;0.3553034034059981;27704;18208;99487;0.6572336124747329;
30/30;30;True;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;87998;0.48345236787166246;154316;73094;12800;0.4736644288343399;27704;14904;81222;0.5379728559052844;
30/30;50;False;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;52519;0.2885342270080211;154316;30130;5315;0.19524871043832137;27704;22389;124186;0.8081504475887958;
30/30;50;True;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;53071;0.29156686078452915;154316;30775;5408;0.19942844552735944;27704;22296;123541;0.8047935316199827;
30/30;100;False;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;27907;0.15331831666849796;154316;238;35;0.0015422898468078487;27704;27669;154078;0.998736644527866;
30/30;100;True;60;60;1.0;30;30;0;1.0;30;30;0;1.0;182020;27907;0.15331831666849796;154316;238;35;0.0015422898468078487;27704;27669;154078;0.998736644527866;
50/50;1;False;100;76;0.76;50;26;0;0.52;50;50;24;1.0;181980;61159;0.33607539290031874;154296;40581;7106;0.26300746616892207;27684;20578;113715;0.7433174396763473;
50/50;1;True;100;85;0.85;50;44;9;0.88;50;41;6;0.82;181980;98545;0.541515551159468;154296;85431;14570;0.553682532275626;27684;13114;68865;0.4737032220777344;
50/50;2;False;100;76;0.76;50;26;0;0.52;50;50;24;1.0;181980;63764;0.35039015276404;154296;43355;7275;0.28098589723648054;27684;20409;110941;0.7372128305158214;
50/50;2;True;100;85;0.85;50;43;8;0.86;50;42;7;0.84;181980;101430;0.5573689416419386;154296;88802;15056;0.5755301498418623;27684;12628;65494;0.45614795549776044;
50/50;4;False;100;82;0.82;50;32;0;0.64;50;50;18;1.0;181980;67380;0.37026046818331687;154296;47703;8007;0.3091655000777726;27684;19677;106593;0.7107715648027741;
50/50;4;True;100;85;0.85;50;43;8;0.86;50;42;7;0.84;181980;102961;0.5657819540608858;154296;90796;15519;0.5884533623684347;27684;12165;63500;0.4394234937147811;
50/50;5;False;100;87;0.87;50;37;0;0.74;50;50;13;1.0;181980;71126;0.3908451478184416;154296;52025;8583;0.33717659563436514;27684;19101;102271;0.6899653229302124;
50/50;5;True;100;91;0.91;50;47;6;0.94;50;44;3;0.88;181980;100784;0.5538191010001099;154296;88203;15103;0.5716480012443614;27684;12581;66093;0.4544502239560757;
50/50;7;False;100;91;0.91;50;41;0;0.82;50;50;9;1.0;181980;77249;0.42449170238487743;154296;59518;9953;0.38573909887488983;27684;17731;94778;0.6404782545874873;
50/50;7;True;100;89;0.89;50;46;7;0.92;50;43;4;0.86;181980;100795;0.5538795472029894;154296;88119;15008;0.5711035930937938;27684;12676;66177;0.4578818089871406;
50/50;10;False;100;95;0.95;50;45;0;0.9;50;50;5;1.0;181980;79358;0.4360808880096714;154296;62085;10411;0.4023759527142635;27684;17273;92211;0.6239344025429852;
50/50;10;True;100;99;0.99;50;49;0;0.98;50;50;1;1.0;181980;101297;0.5566380920980327;154296;89042;15429;0.5770856017006274;27684;12255;65254;0.4426744690073689;
50/50;20;False;100;98;0.98;50;48;0;0.96;50;50;2;1.0;181980;78877;0.43343774041103417;154296;61406;10213;0.3979753201638409;27684;17471;92890;0.6310865481866782;
50/50;20;True;100;98;0.98;50;48;0;0.96;50;50;2;1.0;181980;97003;0.5330420925376415;154296;83638;14319;0.5420620106807694;27684;13365;70658;0.4827698309492848;
50/50;25;False;100;97;0.97;50;47;0;0.94;50;50;3;1.0;181980;67670;0.3718540498955929;154296;47689;7703;0.3090747653860113;27684;19981;106607;0.7217526369021817;
50/50;25;True;100;99;0.99;50;49;0;0.98;50;50;1;1.0;181980;86400;0.47477744807121663;154296;70648;11932;0.45787317882511536;27684;15752;83648;0.5689929200982518;
50/50;30;False;100;99;0.99;50;49;0;0.98;50;50;1;1.0;181980;68296;0.37529398835036815;154296;49143;8531;0.3184982112303624;27684;19153;105153;0.6918436642103742;
50/50;30;True;100;99;0.99;50;49;0;0.98;50;50;1;1.0;181980;84366;0.4636003956478734;154296;68744;12062;0.4455332607455799;27684;15622;85552;0.5642970668978471;
50/50;50;False;100;99;0.99;50;49;0;0.98;50;50;1;1.0;181980;46699;0.25661611166062204;154296;22975;3960;0.14890211022968838;27684;23724;131321;0.8569570871261378;
50/50;50;True;100;100;1.0;50;50;0;1.0;50;50;0;1.0;181980;49881;0.27410154962083744;154296;26952;4755;0.17467724373930626;27684;22929;127344;0.8282401387082792;
50/50;100;False;100;100;1.0;50;50;0;1.0;50;50;0;1.0;181980;27943;0.15354984064182878;154296;306;47;0.0019832011199253383;27684;27637;153990;0.9983022684583153;
50/50;100;True;100;100;1.0;50;50;0;1.0;50;50;0;1.0;181980;27943;0.15354984064182878;154296;306;47;0.0019832011199253383;27684;27637;153990;0.9983022684583153;
75/75;1;False;150;98;0.6533333333333333;75;23;0;0.30666666666666664;75;75;52;1.0;181930;48838;0.2684439069971967;154271;25491;4312;0.16523520298695155;27659;23347;128780;0.8441013774901479;
75/75;1;True;150;116;0.7733333333333333;75;63;22;0.84;75;53;12;0.7066666666666667;181930;104348;0.5735612598252074;154271;92036;15347;0.5965865263076016;27659;12312;62235;0.44513539896597853;
75/75;2;False;150;102;0.68;75;27;0;0.36;75;75;48;1.0;181930;53807;0.2957566096850437;154271;30989;4841;0.20087378703709705;27659;22818;123282;0.8249755956469865;
75/75;2;True;150;116;0.7733333333333333;75;61;20;0.8133333333333334;75;55;14;0.7333333333333333;181930;104495;0.5743692629033145;154271;92014;15178;0.5964439201146036;27659;12481;62257;0.4512455258686142;
75/75;4;False;150;113;0.7533333333333333;75;38;0;0.5066666666666667;75;75;37;1.0;181930;59940;0.32946737756279887;154271;38468;6187;0.24935341055674753;27659;21472;115803;0.7763115080082432;
75/75;4;True;150;116;0.7733333333333333;75;59;18;0.7866666666666666;75;57;16;0.76;181930;104535;0.5745891276864729;154271;92090;15214;0.5969365596904149;27659;12445;62181;0.44994396037456164;
